目标变量,模型,交叉验证R²,R²标准差,交叉验证RMSE,RMSE标准差
乙醇转化率(%),ElasticNetCV,0.7757570043206079,0.07229827722283576,10.209113946666472,1.7767863797703478
乙醇转化率(%),RidgeCV,0.7868064018219701,0.07412534406495527,9.941666923154493,1.9036279630017572
乙醇转化率(%),LassoCV,0.7789657726955428,0.07090439458022041,10.157413890157382,1.7742247136377423
乙醇转化率(%),SVR_RBF,0.8728021690446025,0.09763414448351351,7.217498832868597,3.3081141973928134
乙醇转化率(%),SVR_Poly,0.23601757882074578,0.3062270381449722,18.797467990993223,4.2532966411425805
乙醇转化率(%),GaussianProcess,-0.9242283939708895,0.31919378019409805,30.629557916812598,6.363750151486644
乙醇转化率(%),Poly2_Ridge,0.8535860989709296,0.058388863355403595,8.134663155962832,1.2670590499467875
乙醇转化率(%),RandomForest_Small,0.729841998545425,0.08372962785959233,11.332837431716907,2.792837890240997
C4烯烃选择性(%),ElasticNetCV,0.6838110331028054,0.11213350729882648,7.190858435995117,1.3491718568594528
C4烯烃选择性(%),RidgeCV,0.6777911059795481,0.11645594727150087,7.255383987328928,1.3819350660518517
C4烯烃选择性(%),LassoCV,0.6906215766593155,0.11408716529707622,7.101330045877304,1.378549249954654
C4烯烃选择性(%),SVR_RBF,0.7124859563126651,0.12531461916387515,6.826039470931689,2.0654904096657463
C4烯烃选择性(%),SVR_Poly,0.2974921873060313,0.21700884215176286,10.754238293493058,1.7885329873451388
C4烯烃选择性(%),GaussianProcess,-1.3728207288263075,0.4856546520578294,20.099504434787796,3.473959832848119
C4烯烃选择性(%),Poly2_Ridge,0.7134546798386208,0.09349769458370599,6.869969799761947,1.3155311803733734
C4烯烃选择性(%),RandomForest_Small,0.5198860015595697,0.17190084154734728,8.88783488172997,1.7324553119225394
C4烯烃收率,ElasticNetCV,0.7675000185939408,0.09708357187121329,4.1685327751265175,1.4350948173920979
C4烯烃收率,RidgeCV,0.8282338673797797,0.07492733441813515,3.5655289446966614,1.111261260447286
C4烯烃收率,LassoCV,0.8306065622263155,0.0745911650769695,3.5115235305495363,0.992942123061996
C4烯烃收率,SVR_RBF,0.8501406792367283,0.09795453050925851,3.316378491460037,1.925135172196942
C4烯烃收率,SVR_Poly,0.6077269979118666,0.13789012428101702,5.35290105273967,1.4286289518257906
C4烯烃收率,GaussianProcess,-0.23274953257150044,0.4850124164699087,9.618431400661072,4.239037770778131
C4烯烃收率,Poly2_Ridge,0.8536574953442769,0.053229799716987186,3.3395614985267503,1.1196800074006967
C4烯烃收率,RandomForest_Small,0.6628657379980619,0.15275542325809993,5.104609039773598,2.2488001323459383
