催化剂组合ID,最佳温度,最大收率,对应转化率,对应选择性,Co负载量,乙醇浓度,总催化剂质量,装料比
Co1.0_SiO2200_HAP200_EtOH0.90,400,44.72805977609709,83.7133815760754,53.43,1.0,0.9,400,1.0
Co0.5_SiO2200_HAP200_EtOH1.68,400,36.27781909092121,88.4393444439815,41.02,0.5,1.68,400,1.0
Co5.0_SiO2200_HAP200_EtOH1.68,400,31.113665118456932,83.3476161758825,37.33,5.0,1.68,400,1.0
Co2.0_SiO2200_HAP200_EtOH0.30,400,29.062381826224893,76.0198321376534,38.23,2.0,0.3,400,1.0
Co2.0_SiO2200_HAP200_EtOH1.68,350,26.54080463653922,67.8792957456246,39.1,2.0,1.68,400,1.0
Co1.0_SiO2100_HAP100_EtOH0.90,400,26.489980000000006,69.4,38.17,1.0,0.9,200,1.0
Co1.0_SiO250_HAP50_EtOH0.30,400,25.279115885748283,76.0274161977392,33.25,1.0,0.3,100,1.0
Co1.0_SiO250_HAP50_EtOH0.90,400,23.243408658548528,56.1163898081809,41.42,1.0,0.9,100,1.0
Co1.0_SiO275_HAP75_EtOH1.68,400,19.27714861525948,63.2452382390403,30.48,1.0,1.68,150,1.0
Co1.0_SiO250_HAP50_EtOH1.68,400,17.909008555192635,43.595444389466,41.08,1.0,1.68,100,1.0
Co1.0_SiO2100_HAP100_EtOH1.68,400,17.46733752494658,45.1352390825493,38.7,1.0,1.68,200,1.0
Co1.0_SiO2200_HAP200_EtOH1.68,350,17.37376011213562,36.801016971268,47.21,1.0,1.68,400,1.0
Co1.0_SiO250_HAP50_EtOH2.10,400,17.151127283118925,40.7971628999023,42.04,1.0,2.1,100,1.0
Co1.0_SiO233_HAP67_EtOH1.68,400,11.956202280332972,53.6152568624797,22.3,1.0,1.68,100,0.4925373134328358
Co1.0_SiO267_HAP33_EtOH1.68,400,11.177160766657794,40.047154305474,27.91,1.0,1.68,100,2.0303030303030303
Co1.0_SiO225_HAP25_EtOH1.68,400,7.183518240780345,33.4895955281135,21.45,1.0,1.68,50,1.0
Co1.0_SiO210_HAP10_EtOH1.68,400,4.47533763931911,21.1001303126785,21.21,1.0,1.68,20,1.0
Co5.0_SiO250_HAP50_EtOH2.10,400,2.9423628089005787,28.5943907570513,10.29,5.0,2.1,100,1.0
