催化剂组合编号,催化剂组合,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇         选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),Co_SiO2_mass,Co_loading,HAP_mass,ethanol_conc,C4烯烃收率,总催化剂质量,Co_SiO2_HAP_ratio,装料方式,含HAP,Co_SiO2_HAP_ratio_corrected
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,56.3824602331247,1.43,30.62,3.79,51.21,0.0,12.95,200,2.0,200,1.68,17.264309323382783,400,0.99999999995,I,True,1.0
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,325,37.5791851341654,1.83,28.72,5.72,49.77,3.44,10.52,200,1.0,200,0.9,10.792741970532301,400,0.99999999995,I,True,1.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,19.6813590966625,7.97,49.7,14.69,15.16,2.13,10.35,200,1.0,200,1.68,9.781635471041263,400,0.99999999995,I,True,1.0
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,43.3256219763485,1.02,18.89,4.42,59.65,7.64,8.38,200,0.5,200,1.68,8.184209991332231,400,0.99999999995,I,True,1.0
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,38.9222453049932,0.85,19.6,2.21,67.5,0.0,9.84,200,2.0,200,1.68,7.628760079778667,400,0.99999999995,I,True,1.0
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,14.9688914921879,3.02,46.94,4.71,35.16,1.0,9.17,200,1.0,200,1.68,7.026397666433001,400,0.99999999995,I,True,1.0
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,300,29.2502335391358,0.71,17.01,3.63,66.9,3.18,8.57,200,1.0,200,0.9,4.975464725007,400,0.99999999995,I,True,1.0
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,325,28.3488858758218,1.14,13.86,15.83,56.28,2.92,9.97,200,2.0,200,0.3,3.9291555823889013,400,0.99999999995,I,True,1.0
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,300,39.9843661922415,0.57,8.84,3.98,79.99,0.0,6.62,50,1.0,50,0.3,3.534617971394149,100,0.9999999998,I,True,1.0
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,325,17.8,1.42,18.45,7.94,59.12,7.14,5.93,100,1.0,100,0.9,3.2841000000000005,200,0.9999999999,II,True,1.0
